@relation Analy-weka.filters.unsupervised.attribute.StringToNominal-Rlast

@attribute rollno {11CO18,11CO35,11CO37,11CO54,12CO03,12CO04,12CO06,12CO10,12CO18,12CO19,12CO25,12CO33,12CO34,12CO35,12CO41,12CO42,12CO45,12CO50,12CO51,12CO57,12CO84,13CO04,13CO06,13CO07,13CO09,13CO10,13CO11,13CO12,13CO13,13CO14,13CO16,13CO17,13CO18,13CO19,13CO21,13CO22,13CO23,13CO24,13CO25,13CO28,13CO29,13CO30,13CO32,13CO34,13CO36,13CO38,13CO39,13CO44,13CO46,13CO48,13CO49,13CO50,13CO52,13CO53,13CO54,13CO55,13CO56,13CO57,13CO60,13CO77,13CO78,14CO01,14CO02,14CO03,14CO04,14CO05,14CO06,14CO07,14CO08,14CO10,14CO11,14CO12,14CO14,14CO15,14CO16,14CO17,14CO19,14CO21,14CO22,14CO23,14CO25,14CO28,14CO29,14CO30,14CO31,14CO33,14CO34,14CO35,14CO36,14CO37,14CO38,14CO39,14CO40,14CO41,14CO42,14CO43,14CO44,14CO47,14CO48,14CO49,14DCO52,14DCO53,14DCO56,14DCO57,14DCO58,14DCO61,14DCO63,14DCO65,14DCO66,14DCO69,15DCO44,15DCO46,15DCO47,15DCO48,15DCO49,15DCO50,15DCO51,15DCO52,15DCO53,15DCO54,15DCO55,15DCO56,15DCO57,15DCO58,15DCO59,15DCO60,15DCO61,15DCO62,15DCO63,15DCO64,15DCO65,15DCO66,15DCO67,15DCO68,15DCO69,15DCO70,15DCO71,15DCO72,15DCO73,15DCO74,15DCO75,15DCO76,15DCO77,15DCO78}
@attribute study_hrs numeric
@attribute health {EXCELLENT,POOR,AVERAGE,GOOD}
@attribute tution {NO,YES}
@attribute source_fees {PARENTS,SCHOLARSHIP,MULTIPLE,RELATIVES}
@attribute drop_yr {YES,NO}
@attribute campus_feedback numeric
@attribute travel_time {'1 TO 2 HOURS','MORE THAN 3 HOURS','2 TO 3 HOURS',1,'UPTO 1 HRS','UPTO 1 HOUR'}
@attribute family_type {NUCLEAR,JOINT,EXTENDED}
@attribute annual_income {'5 LAKHS AND ABOVE','2 TO 2.99 LAKHS','1 TO 1.99 LAKHS','LESS THAN 1 LAKH','4 TO 4.99 LAKHS','3 TO 3.99 LAKHS'}
@attribute father_edu numeric
@attribute mother_edu numeric
@attribute father_occup {'SALARIED EMPLOYEE',BUSINESS,'DEFENCE SERVICE(AIRFORCE)','NO JOB',SERVICE,'PASSED AWAY',HELPER,DRIVER,'SELF EMPLOYEE',ELECTRICIAN,'BMC SERVICE (ASST. ENGINEER)',JOB,BUSSINESS,'SELF EMPLOYEED'}
@attribute mother_occup {HOUSEWIFE,'SALARIED EMPLOYEE',BUSINESS,'HOUSE WIFE'}
@attribute challenges_family {'NO PROBLEM',NONE,'ANY ILL PERSON',NO,'SALARIED EMPLOYEE','NO CHALLENGES',FAINANCES}
@attribute cast {OPEN,OBC,GENERAL,MUSLIM,HINDU}
@attribute mother_tounge {HINDI,URDU,MARATHI,GUJARATI,KONKANI,TAMIL,BENGALI}
@attribute orphan {NO,YES}
@attribute kts numeric
@attribute ssc {'FIRST CLASS',DISTINCTION,'SECOND CLASS'}
@attribute hsc {'FIRST CLASS','SECOND CLASS',DISTINCTION,'FRIST CLASS'}
@attribute medium {ENGLISH,VERNACULAR}
@attribute quota {MANAGEMENT,CAP,MINORITY}
@attribute location {MUMBRA,MUMBAI,THANE,'NAVI MUMBAI',RAIGARH,RATNAGIRI,RAIGAD,NULL}
@attribute loc_type {URBAN}
@attribute host {NULL}
@attribute trav_medium {NULL,TRAIN}
@attribute gender {MALE,FEMALE}
@attribute course_id {CPC501,CPC502,CPC503,CPC504,CPL501,CPL502,CSC401,CSC402,CSC403,CSC404,CSC405,CSC406,CSC301,CSC302,CSC303,CSC304,CSC305,CSC306,CPC601,CPC602,CPC603,CPC604,CPE6012,CPL605}
@attribute year {'Second Half 2015','First Half 2014','Second Half 2014','First Half 2015'}
@attribute kt {NO,YES}
@attribute attendance numeric
@attribute att {EXCELLENT,GOOD,AVERAGE,POOR}
@attribute grade_individual numeric
@attribute tw numeric
@attribute test numeric
@attribute orpr numeric
@attribute grade_overall numeric

@data
13CO11,0,POOR,NO,PARENTS,NO,3,'1 TO 2 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',3,3,'SALARIED EMPLOYEE','SALARIED EMPLOYEE','NO PROBLEM',OPEN,URDU,NO,0,DISTINCTION,'FIRST CLASS',ENGLISH,CAP,'NAVI MUMBAI',URBAN,NULL,NULL,FEMALE,CSC402,'First Half 2015',NO,38,POOR,4,8,10,10,6
14DCO65,2,AVERAGE,NO,SCHOLARSHIP,NO,3,'2 TO 3 HOURS',NUCLEAR,'LESS THAN 1 LAKH',2,2,'NO JOB',HOUSEWIFE,'SALARIED EMPLOYEE',OPEN,HINDI,NO,5,DISTINCTION,'FIRST CLASS',VERNACULAR,MINORITY,NULL,URBAN,NULL,NULL,FEMALE,CSC404,'First Half 2015',NO,67,AVERAGE,4,8,9,9,8
14DCO58,2,EXCELLENT,NO,SCHOLARSHIP,NO,3,'1 TO 2 HOURS',NUCLEAR,'LESS THAN 1 LAKH',3,2,'NO JOB',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,5,'FIRST CLASS','FIRST CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CPC501,'Second Half 2015',NO,52,POOR,4,8,-1,9,6
13CO19,1,AVERAGE,NO,PARENTS,NO,2,'2 TO 3 HOURS',NUCLEAR,'LESS THAN 1 LAKH',1,1,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,GUJARATI,NO,4,DISTINCTION,'FIRST CLASS',ENGLISH,CAP,MUMBAI,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2014',NO,79,GOOD,4,-1,5,-1,4
13CO48,4,EXCELLENT,YES,SCHOLARSHIP,YES,3,'2 TO 3 HOURS',NUCLEAR,'3 TO 3.99 LAKHS',1,1,BUSINESS,BUSINESS,'ANY ILL PERSON',OPEN,HINDI,NO,3,DISTINCTION,'FIRST CLASS',ENGLISH,MINORITY,THANE,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2014',NO,69,AVERAGE,4,-1,5,-1,4
12CO03,5,GOOD,NO,PARENTS,NO,4,'2 TO 3 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',1,1,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,MARATHI,NO,0,DISTINCTION,'SECOND CLASS',VERNACULAR,CAP,MUMBAI,URBAN,NULL,NULL,FEMALE,CSC405,'First Half 2014',NO,90,EXCELLENT,4,-1,8,-1,5
14CO43,1,GOOD,NO,PARENTS,NO,4,'UPTO 1 HRS',NUCLEAR,'4 TO 4.99 LAKHS',3,3,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,HINDI,NO,6,DISTINCTION,'SECOND CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,62,AVERAGE,4,-1,8,-1,4
14DCO57,0,GOOD,NO,PARENTS,NO,5,'MORE THAN 3 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',1,1,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,HINDI,NO,2,'FIRST CLASS','FIRST CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,FEMALE,CSC305,'Second Half 2014',NO,65,AVERAGE,4,-1,8,-1,5
14DCO58,2,EXCELLENT,NO,SCHOLARSHIP,NO,3,'1 TO 2 HOURS',NUCLEAR,'LESS THAN 1 LAKH',3,2,'NO JOB',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,5,'FIRST CLASS','FIRST CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC405,'First Half 2015',NO,55,POOR,4,-1,8,-1,5
14DCO61,2,GOOD,NO,PARENTS,NO,4,'1 TO 2 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',1,1,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,3,DISTINCTION,'FIRST CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2014',YES,70,AVERAGE,4,-1,8,-1,5
15DCO44,1,GOOD,NO,PARENTS,NO,3,'1 TO 2 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',3,3,BUSSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,0,'FIRST CLASS','FIRST CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,60,AVERAGE,4,-1,8,-1,5
15DCO64,1,EXCELLENT,NO,MULTIPLE,NO,4,'1 TO 2 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',1,1,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,0,'FIRST CLASS',DISTINCTION,ENGLISH,MANAGEMENT,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,80,GOOD,4,-1,8,-1,5
12CO19,2,EXCELLENT,NO,PARENTS,YES,4,'UPTO 1 HRS',NUCLEAR,'1 TO 1.99 LAKHS',5,3,'NO JOB',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,1,'FIRST CLASS','SECOND CLASS',ENGLISH,MINORITY,'NAVI MUMBAI',URBAN,NULL,NULL,MALE,CPL501,'Second Half 2015',NO,22,POOR,4,-1,4,-1,4
15DCO66,3,GOOD,YES,PARENTS,NO,3,'1 TO 2 HOURS',JOINT,'2 TO 2.99 LAKHS',2,1,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,0,DISTINCTION,'FIRST CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,33,POOR,4,-1,4,-1,4
12CO25,2,GOOD,NO,PARENTS,YES,2,'1 TO 2 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',1,4,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,0,'FIRST CLASS','FIRST CLASS',ENGLISH,MANAGEMENT,'NAVI MUMBAI',URBAN,NULL,NULL,MALE,CSC405,'First Half 2014',NO,45,POOR,4,-1,6,-1,5
12CO51,1,GOOD,NO,PARENTS,YES,3,'2 TO 3 HOURS',NUCLEAR,'4 TO 4.99 LAKHS',3,3,'SALARIED EMPLOYEE','SALARIED EMPLOYEE','NO PROBLEM',OPEN,URDU,NO,3,DISTINCTION,'FIRST CLASS',ENGLISH,MANAGEMENT,THANE,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2014',NO,45,POOR,4,-1,6,-1,4
13CO24,2,GOOD,NO,PARENTS,NO,3,'MORE THAN 3 HOURS',JOINT,'1 TO 1.99 LAKHS',1,1,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,0,DISTINCTION,'SECOND CLASS',VERNACULAR,CAP,MUMBAI,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2014',NO,72,AVERAGE,4,-1,6,-1,5
14CO06,1,GOOD,NO,PARENTS,NO,5,'1 TO 2 HOURS',JOINT,'1 TO 1.99 LAKHS',2,2,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,7,'FIRST CLASS','SECOND CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,FEMALE,CSC305,'Second Half 2015',NO,44,POOR,4,-1,6,-1,4
14CO25,1,GOOD,NO,MULTIPLE,NO,4,'2 TO 3 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',1,0,'SALARIED EMPLOYEE',HOUSEWIFE,'SALARIED EMPLOYEE',OPEN,URDU,NO,3,DISTINCTION,'FIRST CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,59,POOR,4,-1,6,-1,4
14CO28,2,AVERAGE,NO,PARENTS,NO,2,'1 TO 2 HOURS',NUCLEAR,'4 TO 4.99 LAKHS',3,3,'BMC SERVICE (ASST. ENGINEER)',HOUSEWIFE,'NO CHALLENGES',MUSLIM,URDU,NO,0,DISTINCTION,'FIRST CLASS',ENGLISH,MANAGEMENT,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,44,POOR,4,-1,6,-1,4
14DCO53,2,GOOD,NO,PARENTS,NO,4,'1 TO 2 HOURS',JOINT,'1 TO 1.99 LAKHS',2,1,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,4,'FIRST CLASS','FIRST CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2014',NO,75,GOOD,4,-1,6,-1,4
15DCO47,1,GOOD,NO,MULTIPLE,NO,5,'1 TO 2 HOURS',NUCLEAR,'3 TO 3.99 LAKHS',2,1,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,0,'FIRST CLASS',DISTINCTION,ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,FEMALE,CSC305,'Second Half 2015',NO,56,POOR,4,-1,6,-1,4
15DCO70,1,AVERAGE,NO,MULTIPLE,NO,3,'1 TO 2 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',1,1,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,HINDI,NO,0,'SECOND CLASS','SECOND CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,44,POOR,4,-1,6,-1,5
15DCO76,1,EXCELLENT,YES,MULTIPLE,NO,4,'2 TO 3 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',2,3,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,0,DISTINCTION,DISTINCTION,ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,76,GOOD,4,-1,6,-1,4
12CO34,1,EXCELLENT,NO,PARENTS,NO,5,'MORE THAN 3 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',3,3,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,5,'SECOND CLASS','FIRST CLASS',ENGLISH,MINORITY,RAIGARH,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2014',NO,65,AVERAGE,4,-1,7,-1,4
13CO10,1,GOOD,NO,MULTIPLE,NO,4,'MORE THAN 3 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',1,1,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,KONKANI,NO,1,'FIRST CLASS','SECOND CLASS',ENGLISH,MANAGEMENT,'NAVI MUMBAI',URBAN,NULL,NULL,FEMALE,CSC305,'Second Half 2014',NO,66,AVERAGE,4,-1,7,-1,5
13CO23,2,GOOD,NO,PARENTS,NO,2,'1 TO 2 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',1,1,'NO JOB',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,2,'FIRST CLASS','FIRST CLASS',ENGLISH,MINORITY,THANE,URBAN,NULL,NULL,MALE,CSC405,'First Half 2015',NO,65,AVERAGE,4,-1,7,-1,5
15DCO51,1,EXCELLENT,NO,PARENTS,NO,5,'1 TO 2 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',1,0,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,0,DISTINCTION,'FIRST CLASS',VERNACULAR,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,94,EXCELLENT,4,-1,7,-1,5
15DCO55,3,EXCELLENT,NO,MULTIPLE,NO,3,'1 TO 2 HOURS',JOINT,'LESS THAN 1 LAKH',1,1,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,0,'FIRST CLASS','SECOND CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,85,GOOD,4,-1,7,-1,4
15DCO59,1,EXCELLENT,YES,PARENTS,NO,4,'UPTO 1 HRS',NUCLEAR,'5 LAKHS AND ABOVE',2,1,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,0,'FIRST CLASS',DISTINCTION,ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,82,GOOD,4,-1,7,-1,4
12CO18,1,GOOD,NO,PARENTS,YES,4,'1 TO 2 HOURS',JOINT,'LESS THAN 1 LAKH',1,0,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,4,'SECOND CLASS','SECOND CLASS',VERNACULAR,MINORITY,MUMBAI,URBAN,NULL,NULL,MALE,CSC405,'First Half 2015',NO,75,GOOD,4,-1,10,-1,5
12CO34,1,EXCELLENT,NO,PARENTS,NO,5,'MORE THAN 3 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',3,3,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,5,'SECOND CLASS','FIRST CLASS',ENGLISH,MINORITY,RAIGARH,URBAN,NULL,NULL,MALE,CSC405,'First Half 2015',NO,78,GOOD,4,-1,10,-1,6
13CO16,2,GOOD,NO,PARENTS,NO,4,'UPTO 1 HRS',NUCLEAR,'LESS THAN 1 LAKH',1,1,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OBC,URDU,NO,0,DISTINCTION,'SECOND CLASS',ENGLISH,MINORITY,THANE,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2014',NO,72,AVERAGE,4,-1,10,-1,6
13CO50,2,GOOD,NO,PARENTS,NO,3,'UPTO 1 HRS',NUCLEAR,'LESS THAN 1 LAKH',1,0,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,4,'FIRST CLASS','SECOND CLASS',ENGLISH,MINORITY,MUMBAI,URBAN,NULL,NULL,MALE,CSC405,'First Half 2015',NO,68,AVERAGE,4,-1,10,-1,5
13CO56,2,GOOD,NO,PARENTS,NO,4,'UPTO 1 HRS',NUCLEAR,'LESS THAN 1 LAKH',1,0,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,1,'FIRST CLASS','FIRST CLASS',ENGLISH,CAP,MUMBAI,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2014',NO,62,AVERAGE,4,-1,10,-1,5
14CO04,2,EXCELLENT,NO,PARENTS,NO,4,'2 TO 3 HOURS',NUCLEAR,'2 TO 2.99 LAKHS',1,1,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,HINDI,NO,4,DISTINCTION,'SECOND CLASS',VERNACULAR,MINORITY,NULL,URBAN,NULL,NULL,FEMALE,CSC305,'Second Half 2015',NO,53,POOR,4,-1,10,-1,5
14CO07,2,GOOD,NO,MULTIPLE,NO,4,'2 TO 3 HOURS',NUCLEAR,'LESS THAN 1 LAKH',1,3,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,5,DISTINCTION,'SECOND CLASS',VERNACULAR,MINORITY,NULL,URBAN,NULL,NULL,FEMALE,CSC305,'Second Half 2015',NO,71,AVERAGE,4,-1,10,-1,5
14CO21,2,GOOD,NO,MULTIPLE,NO,4,'UPTO 1 HRS',NUCLEAR,'1 TO 1.99 LAKHS',3,1,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,2,DISTINCTION,'FIRST CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,88,EXCELLENT,4,-1,10,-1,5
14CO23,2,AVERAGE,NO,PARENTS,NO,4,'UPTO 1 HRS',NUCLEAR,'LESS THAN 1 LAKH',1,1,ELECTRICIAN,HOUSEWIFE,NO,MUSLIM,URDU,NO,1,'FIRST CLASS','FIRST CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,88,EXCELLENT,4,-1,10,-1,6
14CO29,3,GOOD,NO,PARENTS,NO,4,'MORE THAN 3 HOURS',NUCLEAR,'LESS THAN 1 LAKH',2,1,JOB,HOUSEWIFE,'NO CHALLENGES',HINDU,MARATHI,NO,2,DISTINCTION,'FIRST CLASS',VERNACULAR,CAP,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,100,EXCELLENT,4,-1,10,-1,6
14CO35,2,GOOD,NO,PARENTS,NO,3,'UPTO 1 HRS',NUCLEAR,'1 TO 1.99 LAKHS',2,1,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,HINDI,NO,3,DISTINCTION,'FIRST CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,74,AVERAGE,4,-1,10,-1,5
14CO37,1,EXCELLENT,NO,PARENTS,NO,3,'1 TO 2 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',1,1,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,KONKANI,NO,1,'FIRST CLASS','SECOND CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,79,GOOD,4,-1,10,-1,5
14CO40,1,GOOD,NO,MULTIPLE,NO,4,'2 TO 3 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',2,1,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,GUJARATI,NO,2,'FIRST CLASS','FIRST CLASS',ENGLISH,CAP,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,85,GOOD,4,-1,10,-1,6
14CO41,1,GOOD,NO,MULTIPLE,NO,3,'1 TO 2 HOURS',NUCLEAR,'LESS THAN 1 LAKH',2,1,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,MARATHI,NO,3,'FIRST CLASS','FIRST CLASS',ENGLISH,CAP,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,62,AVERAGE,4,-1,10,-1,6
14CO48,1,GOOD,NO,PARENTS,NO,3,'UPTO 1 HRS',NUCLEAR,'1 TO 1.99 LAKHS',1,0,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,BENGALI,NO,0,'FIRST CLASS','FIRST CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,91,EXCELLENT,4,-1,10,-1,6
14DCO69,2,GOOD,NO,PARENTS,NO,4,'1 TO 2 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',1,1,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,5,DISTINCTION,'FIRST CLASS',VERNACULAR,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC405,'First Half 2015',NO,83,GOOD,4,-1,10,-1,5
15DCO50,1,GOOD,NO,MULTIPLE,NO,4,'1 TO 2 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',2,1,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,0,DISTINCTION,DISTINCTION,ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,74,AVERAGE,4,-1,10,-1,5
15DCO52,2,GOOD,NO,MULTIPLE,NO,5,'2 TO 3 HOURS',NUCLEAR,'2 TO 2.99 LAKHS',1,1,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,0,DISTINCTION,'FIRST CLASS',VERNACULAR,MINORITY,NULL,URBAN,NULL,NULL,FEMALE,CSC305,'Second Half 2015',NO,74,AVERAGE,4,-1,10,-1,6
15DCO56,1,GOOD,YES,PARENTS,NO,5,'1 TO 2 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',1,1,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,KONKANI,NO,0,'FIRST CLASS','FIRST CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,FEMALE,CSC305,'Second Half 2015',NO,85,GOOD,4,-1,10,-1,6
15DCO73,1,GOOD,NO,MULTIPLE,NO,3,'1 TO 2 HOURS',NUCLEAR,'LESS THAN 1 LAKH',1,1,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,0,DISTINCTION,'SECOND CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,56,POOR,4,-1,10,-1,6
13CO06,3,GOOD,NO,PARENTS,NO,3,'2 TO 3 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',2,3,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,2,DISTINCTION,'SECOND CLASS',ENGLISH,MINORITY,THANE,URBAN,NULL,NULL,FEMALE,CSC405,'First Half 2015',NO,78,GOOD,4,-1,9,-1,5
14CO05,1,GOOD,NO,RELATIVES,NO,4,'2 TO 3 HOURS',NUCLEAR,'LESS THAN 1 LAKH',1,1,HELPER,'HOUSE WIFE',FAINANCES,OPEN,URDU,NO,5,DISTINCTION,'FIRST CLASS',VERNACULAR,MINORITY,NULL,URBAN,NULL,NULL,FEMALE,CSC305,'Second Half 2015',NO,85,GOOD,4,-1,9,-1,5
14CO30,2,GOOD,NO,PARENTS,NO,4,'1 TO 2 HOURS',NUCLEAR,'LESS THAN 1 LAKH',1,3,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,GUJARATI,NO,2,DISTINCTION,'SECOND CLASS',ENGLISH,CAP,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,53,POOR,4,-1,9,-1,5
14DCO65,2,AVERAGE,NO,SCHOLARSHIP,NO,3,'2 TO 3 HOURS',NUCLEAR,'LESS THAN 1 LAKH',2,2,'NO JOB',HOUSEWIFE,'SALARIED EMPLOYEE',OPEN,HINDI,NO,5,DISTINCTION,'FIRST CLASS',VERNACULAR,MINORITY,NULL,URBAN,NULL,NULL,FEMALE,CSC305,'Second Half 2014',NO,55,POOR,4,-1,9,-1,7
15DCO77,1,EXCELLENT,NO,PARENTS,NO,5,'1 TO 2 HOURS',JOINT,'1 TO 1.99 LAKHS',1,3,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,0,'SECOND CLASS','FIRST CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC305,'Second Half 2015',NO,41,POOR,4,-1,9,-1,5
14CO06,1,GOOD,NO,PARENTS,NO,5,'1 TO 2 HOURS',JOINT,'1 TO 1.99 LAKHS',2,2,'SALARIED EMPLOYEE',HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,7,'FIRST CLASS','SECOND CLASS',ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,FEMALE,CSC303,'Second Half 2015',NO,76,GOOD,4,5,5,7,4
12CO45,4,AVERAGE,NO,PARENTS,YES,1,'2 TO 3 HOURS',NUCLEAR,'1 TO 1.99 LAKHS',0,0,'NO JOB','SALARIED EMPLOYEE','NO PROBLEM',OPEN,HINDI,YES,6,'FIRST CLASS','FIRST CLASS',ENGLISH,CAP,'NAVI MUMBAI',URBAN,NULL,NULL,MALE,CSC406,'First Half 2015',NO,57,POOR,4,5,5,10,4
15DCO65,1,EXCELLENT,NO,PARENTS,NO,4,'1 TO 2 HOURS',NUCLEAR,'LESS THAN 1 LAKH',2,1,BUSINESS,HOUSEWIFE,'NO PROBLEM',OPEN,URDU,NO,0,DISTINCTION,DISTINCTION,ENGLISH,MINORITY,NULL,URBAN,NULL,NULL,MALE,CSC303,'Second Half 2015',NO,67,AVERAGE,4,5,4,10,10
